מים,,,
יין אורז,,,
מלח גס,,,
מלח לימון,,,
מלח,,,
פירורי לחם,,,
לחם,,,
אגוז מוסקט,,,
אגוז מלך,אגוזי מלך,,
אגוז לוז,אגוזי לוז,,
אגוז ברזיל,אגוזי ברזיל,,
אבקת סוכר,,,
פיתות,,,
פריכיות אורז,,,
איטריות אורז,,,
אורז,,,
פסטה,,,
פתיתים,,,
איטריות ביצים,,,
איטריות,אטריות,נודלס,
בורגול,,,
קוסקוס,,,
קמח תופח,,,
קמח חומוס,,,
קמח כוסמין,,,
קמח תירס,,,
קמח,,,
סולת,,,
אבקת אפיה,אבקת אפייה,,
סוכר וניל,,,
סוכר,,,
גרגירי חומוס,,,
חומוס,,,
עדשים,,,
תירס גמדי,,,
תירס,,,
שעועית אדומה,,,
שעועית ירוקה,,,
שעועית שחורה,,,
שעועית,,,
תה,,,
פולי קפה,,,
קפה שחור,,,
קפה,,,
סירופ שוקולד,,,
ממרך שוקולד,נוטלה,שחר,
שוקולד מריר,,,
שוקולד חלב,,,
שוקולד לבן,,,
שוקולד,,,
ריבה,ריבת,,
דבש,,,
טחינה,,,
קקאו,,,
אבקת מרק,,,
עוגיות,,,
פירות יבשים,,,
וופל,,,
עוף שלם,,,
חזה עוף,,,
כרעיים,,,
כנפיים,,,
כבד,כבדים,,
חזה הודו,,,
בשר טחון,,,
שניצל,,,
לבבות,,,
פרגית,,,
עופיון,,,
פילה עוף,,,
עוף טחון,חזה עוף טחון,,
שוקיים,פולקע,,
יריכיים,,,
גרונות,,,
קורקבנים ,,,
ורד הצלע,אנטריקוט,,
צלעות,,,
חזה בקר,ברוסט,,
צלי כתף,צלי,,
כתף בקר,כתף,כתף מרכזי,
פילה מדומה,פאלש,,
שריר הזרוע,פולן,,
קשתית,שפונדרה,,
צוואר,,,
סינטה,מותן,,
פילה,,,
שייטל,כנף העוקץ,,
אווזית,קאצ'ה,קאצה,
ויסבראטן ,ראש ירכה ,,
צ'אק,ירכה,צאק,
פלדה,כסליים ,,
שריר אחורי,פולי ,,
דניס,,,
בורי,,,
מוסר ים,,,
לברק,,,
בר ים,,,
מרמיר,,,
סרגוסים,,,
ברבוניות,,,
בס,,,
סלמון,,,
לוקוס שחור,,,
לוקוס,לוקוס לבן,,
לוקוס סלע,,,
פלמידה לבן,,,
איילת ים,חזיר ים,,
אינטיאס,,,
פלמידה שחורה,,,
טונה טרי,,,
שרימפס,,,
קלמרי,,,
תמנון,,,
אמנון,מושט,,
ברמונדי,,,
פורל,,,
נסיכת הנילוס,,,
סרדינים,,,
סיבס,,,
קרפיון,,,
פרידה,,,
מליטה,,,
נקניק,,,
נקנקיה,נקנקיות,,
מלאווח,,,
אפונה,,,
פול,,,
בצק עלים,,,
ביצים,חלמון,חלבון,
חמאת בוטנים,,,
חמאה,,,
מרגרינה,,,
גבינה צהובה,,,
